file_path,file_size_mb,parent_uuid,ext
E:\CancerVision_Data\data\Genomics\Mutations\mutations\009254a2-ea81-4c76-8044-7267a9f81364\annotations.txt,0.00045871734619140625,009254a2-ea81-4c76-8044-7267a9f81364,.txt
E:\CancerVision_Data\data\Genomics\Mutations\mutations\009254a2-ea81-4c76-8044-7267a9f81364\dcc71d2d-9707-4234-a3e7-49b9cf977250.wxs.aliquot_ensemble_masked.maf.gz,0.05768775939941406,009254a2-ea81-4c76-8044-7267a9f81364,.gz
E:\CancerVision_Data\data\Genomics\Mutations\mutations\010ba621-7ec1-452e-9115-b7ec5f9b37d2\45f13e24-9fba-4f78-a0ce-7da6b2b852f6.wxs.aliquot_ensemble_masked.maf.gz,0.0468902587890625,010ba621-7ec1-452e-9115-b7ec5f9b37d2,.gz
E:\CancerVision_Data\data\Genomics\Mutations\mutations\010ba621-7ec1-452e-9115-b7ec5f9b37d2\annotations.txt,0.00028705596923828125,010ba621-7ec1-452e-9115-b7ec5f9b37d2,.txt
E:\CancerVision_Data\data\Genomics\Mutations\mutations\0121a6c3-c7ae-4619-b07a-27bb28541478\87c3bd07-208e-40e5-b427-f4f917260392.wxs.aliquot_ensemble_masked.maf.gz,0.1692657470703125,0121a6c3-c7ae-4619-b07a-27bb28541478,.gz
E:\CancerVision_Data\data\Genomics\Mutations\mutations\0121a6c3-c7ae-4619-b07a-27bb28541478\annotations.txt,0.00028705596923828125,0121a6c3-c7ae-4619-b07a-27bb28541478,.txt
E:\CancerVision_Data\data\Genomics\Mutations\mutations\0182902d-bb3b-4b9d-bb2a-1b00c14e3b11\0196bd59-8bff-46da-a06a-4114fb1ffdb6.wxs.aliquot_ensemble_masked.maf.gz,0.01765155792236328,0182902d-bb3b-4b9d-bb2a-1b00c14e3b11,.gz
E:\CancerVision_Data\data\Genomics\Mutations\mutations\0182902d-bb3b-4b9d-bb2a-1b00c14e3b11\annotations.txt,0.0004940032958984375,0182902d-bb3b-4b9d-bb2a-1b00c14e3b11,.txt
E:\CancerVision_Data\data\Genomics\Mutations\mutations\01e89769-e754-4eca-a5a3-b1b72ac4953f\751f6ac7-2f2a-4300-9ba4-87a92920d8bb.wxs.aliquot_ensemble_masked.maf.gz,0.1884899139404297,01e89769-e754-4eca-a5a3-b1b72ac4953f,.gz
E:\CancerVision_Data\data\Genomics\Mutations\mutations\01e89769-e754-4eca-a5a3-b1b72ac4953f\annotations.txt,0.00028705596923828125,01e89769-e754-4eca-a5a3-b1b72ac4953f,.txt
E:\CancerVision_Data\data\Genomics\Mutations\mutations\02c37aa1-ff1e-4548-ace1-0953351e6d01\418928d4-30ef-4e1c-ab3c-957ef4948ff8.wxs.aliquot_ensemble_masked.maf.gz,0.33251190185546875,02c37aa1-ff1e-4548-ace1-0953351e6d01,.gz
E:\CancerVision_Data\data\Genomics\Mutations\mutations\02c37aa1-ff1e-4548-ace1-0953351e6d01\annotations.txt,0.0004911422729492188,02c37aa1-ff1e-4548-ace1-0953351e6d01,.txt
E:\CancerVision_Data\data\Genomics\Mutations\mutations\02ddde9e-c1d4-443b-95fa-1cb9ebcf30b6\433f9e13-9954-4055-8d1a-e0353dc1e878.wxs.aliquot_ensemble_masked.maf.gz,0.28582191467285156,02ddde9e-c1d4-443b-95fa-1cb9ebcf30b6,.gz
E:\CancerVision_Data\data\Genomics\Mutations\mutations\02ddde9e-c1d4-443b-95fa-1cb9ebcf30b6\annotations.txt,0.00028705596923828125,02ddde9e-c1d4-443b-95fa-1cb9ebcf30b6,.txt
E:\CancerVision_Data\data\Genomics\Mutations\mutations\02f8051b-eeba-4da3-a517-b0b92ff4efac\26b2b1c8-8f78-4ef9-a90e-f5744154b8b4.wxs.aliquot_ensemble_masked.maf.gz,0.15182209014892578,02f8051b-eeba-4da3-a517-b0b92ff4efac,.gz
E:\CancerVision_Data\data\Genomics\Mutations\mutations\02f8051b-eeba-4da3-a517-b0b92ff4efac\annotations.txt,0.00028705596923828125,02f8051b-eeba-4da3-a517-b0b92ff4efac,.txt
E:\CancerVision_Data\data\Genomics\Mutations\mutations\0344b01e-7430-4200-81cb-d48a3a8998ac\5387a7a6-6882-476e-a57c-fffca53b11e2.wxs.aliquot_ensemble_masked.maf.gz,0.1769399642944336,0344b01e-7430-4200-81cb-d48a3a8998ac,.gz
E:\CancerVision_Data\data\Genomics\Mutations\mutations\0344b01e-7430-4200-81cb-d48a3a8998ac\annotations.txt,0.0004987716674804688,0344b01e-7430-4200-81cb-d48a3a8998ac,.txt
E:\CancerVision_Data\data\Genomics\Mutations\mutations\035231ec-5900-4d97-a10f-e39bd2c932fc\514d32f1-f689-47bc-b748-2a831cc21d37.wxs.aliquot_ensemble_masked.maf.gz,0.18526458740234375,035231ec-5900-4d97-a10f-e39bd2c932fc,.gz
E:\CancerVision_Data\data\Genomics\Mutations\mutations\035231ec-5900-4d97-a10f-e39bd2c932fc\annotations.txt,0.00028705596923828125,035231ec-5900-4d97-a10f-e39bd2c932fc,.txt
E:\CancerVision_Data\data\Genomics\Mutations\mutations\03add666-b87c-414c-8695-5667f3b599c1\778cde8c-6445-4b59-9185-3cc50f51836d.wxs.aliquot_ensemble_masked.maf.gz,0.4666767120361328,03add666-b87c-414c-8695-5667f3b599c1,.gz
E:\CancerVision_Data\data\Genomics\Mutations\mutations\03add666-b87c-414c-8695-5667f3b599c1\annotations.txt,0.00028705596923828125,03add666-b87c-414c-8695-5667f3b599c1,.txt
E:\CancerVision_Data\data\Genomics\Mutations\mutations\047c7c3b-0baa-41fe-91c7-e3c59a55bdc3\6680da97-11ec-49b1-8ebf-698f5e20b6a7.wxs.aliquot_ensemble_masked.maf.gz,0.0652170181274414,047c7c3b-0baa-41fe-91c7-e3c59a55bdc3,.gz
E:\CancerVision_Data\data\Genomics\Mutations\mutations\047c7c3b-0baa-41fe-91c7-e3c59a55bdc3\annotations.txt,0.00028705596923828125,047c7c3b-0baa-41fe-91c7-e3c59a55bdc3,.txt
E:\CancerVision_Data\data\Genomics\Mutations\mutations\04b50865-c367-44be-8288-3c5464135074\32131c87-c7db-41cc-990c-f62e1788ad0d.wxs.aliquot_ensemble_masked.maf.gz,0.058490753173828125,04b50865-c367-44be-8288-3c5464135074,.gz
E:\CancerVision_Data\data\Genomics\Mutations\mutations\04b50865-c367-44be-8288-3c5464135074\annotations.txt,0.00028705596923828125,04b50865-c367-44be-8288-3c5464135074,.txt
E:\CancerVision_Data\data\Genomics\Mutations\mutations\04cf76d7-4dc2-440d-a151-ce3a2d20fa5b\87fcadb6-f93b-4665-8737-99653ba137ec.wxs.aliquot_ensemble_masked.maf.gz,0.02836894989013672,04cf76d7-4dc2-440d-a151-ce3a2d20fa5b,.gz
E:\CancerVision_Data\data\Genomics\Mutations\mutations\04cf76d7-4dc2-440d-a151-ce3a2d20fa5b\annotations.txt,0.00028705596923828125,04cf76d7-4dc2-440d-a151-ce3a2d20fa5b,.txt
E:\CancerVision_Data\data\Genomics\Mutations\mutations\050b0844-ba9b-4257-8f83-f68f054f67ab\4f0437f4-be61-4881-8f74-fe88e4cc4ed3.wxs.aliquot_ensemble_masked.maf.gz,0.022405624389648438,050b0844-ba9b-4257-8f83-f68f054f67ab,.gz
E:\CancerVision_Data\data\Genomics\Mutations\mutations\050b0844-ba9b-4257-8f83-f68f054f67ab\annotations.txt,0.00028705596923828125,050b0844-ba9b-4257-8f83-f68f054f67ab,.txt
E:\CancerVision_Data\data\Genomics\Mutations\mutations\059df941-5be5-4118-a3ce-03b8eda4d9e4\annotations.txt,0.00028705596923828125,059df941-5be5-4118-a3ce-03b8eda4d9e4,.txt
E:\CancerVision_Data\data\Genomics\Mutations\mutations\059df941-5be5-4118-a3ce-03b8eda4d9e4\d040d578-1baf-46e8-8d98-1d2b89a94141.wxs.aliquot_ensemble_masked.maf.gz,0.07352352142333984,059df941-5be5-4118-a3ce-03b8eda4d9e4,.gz
E:\CancerVision_Data\data\Genomics\Mutations\mutations\05ac6fda-3c72-44c9-99c0-2b466ef1c2ab\annotations.txt,0.0004291534423828125,05ac6fda-3c72-44c9-99c0-2b466ef1c2ab,.txt
E:\CancerVision_Data\data\Genomics\Mutations\mutations\05ac6fda-3c72-44c9-99c0-2b466ef1c2ab\bad7aa24-1d36-4d5e-8766-34578be3d624.wxs.aliquot_ensemble_masked.maf.gz,0.15942001342773438,05ac6fda-3c72-44c9-99c0-2b466ef1c2ab,.gz
